timestamp,entry,prompt_count,prompt_variants,multi_pass,json_path,log_path
2025-11-27T03:29:26,gpt2_to_gpt2,4,identity,true,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\gpt2_to_gpt2\multi_pass_20251127_032925_gpt2_to_gpt2.json,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\gpt2_to_gpt2\20251127_032925_gpt2_to_gpt2.meta.json
2025-11-27T03:30:01,Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct,4,identity,true,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\multi_pass_20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.json,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct\20251127_032959_Qwen_Qwen2_5_0_5B_to_Qwen_Qwen2_5_0_5B_Instruct.meta.json
2025-11-27T03:30:48,Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct,4,identity,true,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\multi_pass_20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.json,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct\20251127_033047_Qwen_Qwen2_5_1_5B_to_Qwen_Qwen2_5_1_5B_Instruct.meta.json
